Idate,Fdate,issuer,Business,SIC,hightec,state,nation,ticker,exchange,industry,bookrunner,managers,grosspread,managementfee,underfee,concession,reallowance,grossspreadP,managementfeeP,underfeeP,concessionP,reallowanceP,grossspreadmkt,principal,principalmkt,proceeds,proceedsmkt,p0,type,description,currency,marketplace,Pexchange,Ph,PL,Pm,sharesF,shareFmkt,amt,Tdamt,IPOflag,shares,Pshares,Sshares,sharesmkt,P_1,P1,spinoff,ownershipB,OwnershipA,Lexchange,ISIN,maintranche,foreignflag,ApsharesFSM,ApsharesF,PsharesFSM,PsharesFM,PsharesOSM,PsharesOM,country,IPO_number,Main_market,year,pshare1,sic1,S1,s2
1996/12/24,1996/12/24,Hotai Motor Co Ltd,"Whl motor vehicles,parts",5012,Primary Business not Hi-Tech,Foreign,Taiwan,2207,Taiwan,Wholesale,CONCORD-INTL,"Concord International Sec
Bank",na,,,,,na,,,,,,107,107,107,107,53,Ord/Common Shs.,"56,028,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,56028000,56028000,                             .,56028000,,,,,,TAIWN,,Y,No,,,,,56028000,56028000,Taiwan,,,1996,56028000,5012,5,50
1996/12/30,1996/12/30,Tonlin Department Store Co Ltd,"Own,op dept stores",5311,Primary Business not Hi-Tech,Foreign,Taiwan,2910,Taiwan,Retail,TAIWIS,Taiwan Intl Securities Corp,na,,,,,na,,,,,,27,27,27,27,41,Ord/Common Shs.,"18,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,18000000,18000000,                             .,18000000,,,,,,TAIWN,,Y,No,,,,,18000000,18000000,Taiwan,,,1996,18000000,5311,5,53
1997/5/2,1997/5/2,Les Enphants Co Ltd,"Mnfr,whl clothings,toys",2361,Primary Business not Hi-Tech,Foreign,Taiwan,2911,Taiwan,Manufacturing,NATIONAL-SEC,"National Securities Corp (TW)
",na,,,,,na,,,,,,26,26,26,26,43,Ord/Common Shs.,"17,000,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,17000000,17000000,                             .,17000000,,,,,,TAIWN,,Y,No,,,,,17000000,17000000,Taiwan,,,1997,17000000,2361,2,23
1997/5/23,1997/5/23,Chia Ta World Co Ltd,Mnfg Steel,3325,Primary Business not Hi-Tech,Foreign,Taiwan,2033,Taiwan,Manufacturing,CORE-PAC-SEC,Core Pacific Securities Co Ltd,na,,,,,na,,,,,,7,7,7,7,26,Ord/Common Shs.,"7,502,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,7502000,7502000,                             .,7502000,,,,,,TAIWN,TW0005005003,Y,No,,,,,7502000,7502000,Taiwan,,,1997,7502000,3325,3,33
1997/6/16,1997/6/16,Silicon Integrated Sys Corp,"Mnfr,whl integrated circuits",3674,"Semiconductors
Other Electroni",Foreign,Taiwan,2363,Taiwan,Manufacturing,GRAND-CATHAY,"Grand Cathay Securities Corp
C",na,,,,,na,,,,,,90,90,90,90,54,Ord/Common Shs.,"46,536,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,46536000,46536000,                             .,46536000,,,,,,TAIWN,,Y,No,,,,,46536000,46536000,Taiwan,,,1997,46536000,3674,3,36
1997/6/28,1997/6/28,Clevo Co,"Mnfr,whl portable computers",3571,"Portable Computers
Micro-Compu",Foreign,Taiwan,2362,Taiwan,Manufacturing,TAIWIS,"Taiwan Intl Securities Corp
Ch",na,,,,,na,,,,,,7,7,7,7,76,Ord/Common Shs.,"2,723,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,2723000,2723000,                             .,2723000,,,,,,TAIWN,TW0002362001,Y,No,,,,,2723000,2723000,Taiwan,,,1997,2723000,3571,3,35
1997/7/2,1997/7/2,De Licacy Industrial Co Ltd,"Mnfr,whl fabric woven prod",2299,Primary Business not Hi-Tech,Foreign,Taiwan,1464,Taiwan,Manufacturing,MASTERLINK-SEC,"Masterlink Securities Co
Grand",na,,,,,na,,,,,,2,2,2,2,23,Ord/Common Shs.,"2,191,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,2191000,2191000,                             .,2191000,,,,,,TAIWN,,Y,No,,,,,2191000,2191000,Taiwan,,,1997,2191000,2299,2,22
1997/7/22,1997/7/22,Wisher Industries Co,Mnfr textile,2399,Primary Business not Hi-Tech,Foreign,Taiwan,WISHER,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
Farmers Bank",na,,,,,na,,,,,,14,14,15,14,39,Ord/Common Shs.,"10,358,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,10358000,10358000,                             .,10358000,,,,,,TAIWN,,Y,No,,,,,10358000,10358000,Taiwan,,,1997,10358000,2399,2,23
1997/8/16,1997/8/16,Fu Sheng Industrial Co Ltd,Mnfr golf heads,3949,Primary Business not Hi-Tech,Foreign,Taiwan,1520,Taiwan,Manufacturing,TAIWAN-SEC,"Taiwan Securities
China Develo",na,,,,,na,,,,,,84,84,84,84,105,Ord/Common Shs.,"23,054,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,23054000,23054000,                             .,23054000,,,,,,TAIWN,,Y,No,,,,,23054000,23054000,Taiwan,,,1997,23054000,3949,3,39
1997/8/19,1997/8/19,Ta Yih Industrial Co Ltd,Mnfr motor vehicle parts,3714,Primary Business not Hi-Tech,Foreign,Taiwan,1521,Taiwan,Manufacturing,CHINA-TRUST,"Chinatrust Financial Holding
C",na,,,,,na,,,,,,24,24,24,24,54,Ord/Common Shs.,"12,600,000.0 Ord/Common Shs.",TW,Taiwan Public,TAIWN,,,,,,,,Yes,12600000,12600000,                             .,12600000,,,,,,TAIWN,,Y,No,,,,,12600000,12600000,Taiwan,,,1997,12600000,3714,3,37
