Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Sector,Full Name,Activity,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE,BOURSE NAME
LEGEND STGY.INTHDG.GP. CO.,K:LSIT,2011/7/15,2011,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Travel and Leisure,Legend Strategy International Holdings Group Company,Active,773767,HK1355,KYG5458R1175,Hong Kong
LUKS GROUP (VTM.HDG.),K:LUKS,1987/2/13,1987,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,Luks Group (Vietnam Holdings),Active,741885,HK366,BMG5700D1065,Hong Kong
LUNG KEE (BERMUDA) HDG.,K:LUNG,1993/3/5,1993,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Industrial Metals and Mining,Lung Kee (Bermuda) Holdings,Active,316659,HK255,BMG5697D1011,Hong Kong
LUZHOU XINGLU WATER 'H',K:LXNG,2017/3/31,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,"Gas, Water and Multiutilities",Luzhou Xinglu Water 'H',Active,9055C4,HK2281,CNE100002FH5,Hong Kong
M&L HDG. GP.,K:MALH,2017/7/21,2017,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Construction and Materials,M&L Holdings Group,Active,9112KP,HK8152,KYG6125R1002,Hong Kong
MAN YUE TECHNOLOGY HDG.,K:MANY,1997/3/5,1997,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Electronic and Electrical Equipment,Man Yue Technology Holdings,Active,887942,HK894,BMG5803Y1066,Hong Kong
MEDIA ASIA GROUP HDG.,K:ROJA,2001/5/31,2001,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Media Asia Group Holdings,Active,262274,HK8075,BMG5960C1111,Hong Kong
MEI AH ENTERTAINMENT GP.,K:MEIA,1993/10/18,1993,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Media,Mei Ah Entertainment Group,Active,317800,HK391,BMG5964A1523,Hong Kong
MERDEKA FINL.SVS.GP.,K:TEAS,2002/3/7,2002,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Forestry and Paper,Merdeka Financial Services Group,Active,15256K,HK8163,KYG6021S1451,Hong Kong
MILLENNIUM PACIFIC GROUP HOLDINGS,K:MILL,2014/7/18,2014,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Leisure Goods,Millennium Pacific Group Holdings,Active,8933NF,HK8147,KYG6169E1301,Hong Kong
MING FAI INTL.HOLDINGS,K:MNGI,2007/11/2,2007,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,Personal Goods,Ming Fai International Holdings,Active,51214U,HK3828,KYG6141X1079,Hong Kong
MODERN BEAUTY SALON HDG.,K:MOBS,2006/2/9,2006,Equities,Hong Kong,Hong Kong,Hong Kong Dollar,General Retailers,Modern Beauty Salon Holdings,Active,32748W,HK919,KYG618101003,Hong Kong
