issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Fortuna Intl Hldgs Ltd,1992/9/22,1992/9/22,BMG3641J1009,530,2085,Fortuna Intl Hldgs Ltd,1,fortuna,8,Sinofortune Financial,Sinofortune Financial,SINOFORTUNE FINL.,K:STKM,2002/1/11,14924C,HK8123,KYG8406P1000
Shun Cheong Holdings Ltd,1992/9/22,1992/9/22,,650,1522,Shun Cheong Holdings Ltd,3,shuneong,7,China Shun KE Long Holdings,China Shun KE Long Holdings,CHINA SHUN KE LONG HDG.,K:CSKL,2015/9/10,9922Q6,HK974,KYG2163D1034
Tommy Hilfiger,1992/9/22,1992/9/22,,,2299,Tommy Hilfiger,6,ommhier,8,Cosmos Machinery Enterprises,Cosmos Machinery Enterprises,COSMOS MACHINERY ENTS.,K:COSO,1988/12/9,779676,HK118,HK0118000667
City Chiu Chow(Holdings)Ltd,1992/10/17,1992/10/17,BMG2155T1080,657,5812,City Chiu Chow(Holdings)Ltd,5,citychcw,5,Citychamp WCJW Group,Citychamp WCJW Group,CITYCHAMP WCJW.GP.,K:CEVE,1991/12/10,315141,HK256,KYG2161T1004
Four Seas Travel International,1992/10/18,1992/10/18,BMG3654F1106,755,4724,Four Seas Travel International,4,fourseasra,5,Four Seas Mercantile,Four Seas Mercantile,FOUR SEAS MERCANTILE,K:FOUS,1993/8/25,317673,HK374,KYG365451049
Alco Holdings Ltd,1992/11/12,1992/11/12,,328,3651,Alco Holdings Ltd,0,alcos,10,Comba Telecom Systems Holdings,Comba Telecom Systems Holdings,COMBA TELECOM SYS.HDG.,K:COMB,2003/7/15,27260X,HK2342,KYG229721140
Leung Kee Holdings Ltd,1992/11/16,1992/11/16,BMG5460K1421,307,1794,Leung Kee Holdings Ltd,2,lungkee,7,Lung Kee (Bermuda) Holdings,Lung Kee (Bermuda) Holdings,LUNG KEE (BERMUDA) HDG.,K:LUNG,1993/3/5,316659,HK255,BMG5697D1011
Yaohan Food Processing & Trad,1992/12/3,1992/12/3,HK0060008015,YAOF,5142,Yaohan Food Processing & Trad,6,yahanproe,6,Yanchang Petroleum International,Yanchang Petroleum International,YANCHANG PETROLEUM INTL.,K:LTG,2001/4/19,256711,HK346,BMG9833W1064
Dickson Constr Intl Ltd,1992/12/18,1992/12/18,KYG275891037,313,1521,Dickson Constr Intl Ltd,2,dicksoncont,4,Dickson Concepts (International),Dickson Concepts (International),DICKSON CONCEPTS (INTL.),K:DICK,1987/3/4,741299,HK113,BMG275871231
Prodn Art Tech(Hldg)Ltd,1992/12/18,1992/12/18,KYG8166R1149,SINOFO,3651,Prodn Art Tech(Hldg)Ltd,2,prdnrt,9,Paradise Entertainment,Paradise Entertainment,PARADISE ENTERTAINMENT,K:YIP,1997/1/20,887716,HK1180,BMG6893L1375
AWT World Transport Group Ltd,1993/1/14,1993/1/14,,N/A,4731,AWT World Transport Group Ltd,7,atortspo,7,Anta Sports Products,Anta Sports Products,ANTA SPORTS PRODUCTS,K:ANIT,2007/7/10,50722E,HK2020,KYG040111059
