issuer,Idate,Fdate,ISIN,ticker,SIC,LCS Key,LevDis Key,LCS,LevDis Value,LCS Value,Full Name,Name,Symbol,Start Date,DATASTREAM CODE,LOC OFF. CODE,ISIN CODE
Tiahan Precision Tech Co Ltd,2007/10/22,2007/10/22,TW0001336006,1336,3082,Tiahan Precision Tech Co Ltd,1,tahanprecision,1,Taihan Precision Technology,Taihan Precision Technology,TAIHAN PRECISION TECH.,TW:THP,2007/11/2,35923X,T1336,TW0001336006
Powerchip Semiconductor Corp,2007/12/31,2007/5/7,TW0005346001,5346,3674,Powerchip Semiconductor Corp,3,wechipsemico,3,Wisechip Semiconductor,Wisechip Semiconductor,WISECHIP SEMICONDUCTOR,TW:WSX,2011/8/29,77579W,T5245,TW0005245005
eGalax-eMPIA Technology Inc,2008/4/1,2008/4/1,TW0003556007,3556,3679,eGalax-eMPIA Technology Inc,1,egalaxempia,0,Egalax Empia Technology,Egalax Empia Technology,EGALAX EMPIA TECHNOLOGY,TW:EGA,2008/4/15,50832L,T3556,TW0003556007
Shih Her Technologies Co Ltd,2008/4/1,2008/4/1,TW0003551008,3551,3674,Shih Her Technologies Co Ltd,1,shihhertechnol,1,Shih-Her Technologies,Shih-Her Technologies,SHIH-HER TECHNOLOGIES,TW:SHR,2008/4/15,41747D,T3551,TW0003551008
Maction Technologies Inc,2011/1/4,2010/9/15,TW0003632006,3632,7372,Maction Technologies Inc,3,aciotechnolo,3,Glac Biotechnology,Glac Biotechnology,GLAC BIOTECH,TW:GBH,2015/10/30,8697PJ,T6553,TW0006553001
Shuang-Bang Industrial Corp,2011/4/25,2010/11/24,TW0006506009,6506,2821,Shuang-Bang Industrial Corp,1,shuangbang,0,Shuang Bang Industrial,Shuang Bang Industrial,SHUANG BANG INDUSTRIAL,TW:SBN,2011/5/3,51661H,T6506,TW0006506009
Kee Song Bio-Tech Hldg Ltd,2011/12/5,2011/7/20,KYG522401010,1258,2051,Kee Song Bio-Tech Hldg Ltd,1,keesongbiotech,1,Kee Song Biotechnology Holdings,Kee Song Biotechnology Holdings,KEE SONG BIOTECH.HDG.,TW:KSO,2011/8/29,77568H,T1258,KYG522401010
X-Legend Entertainment Co Ltd,2011/12/6,2011/7/27,TW0004994009,4994,8748,X-Legend Entertainment Co Ltd,1,xlegendenterta,1,X Legend Entertainment,X Legend Entertainment,X LEGEND ENTERTAINMENT,TW:XLE,2010/12/24,77452U,T4994,TW0004994009
FX Hotels Group Inc,2012/5/25,2011/12/26,KYG3704Y1017,2724,7011,FX Hotels Group Inc,1,fxhotelgroup,0,FX Hotel Group,FX Hotel Group,FX HOTEL GROUP,TW:FXH,2010/1/14,68798C,T2724,KYG3704Y1017
Johnson Chem Pharm Works Co,2013/12/18,2012/8/24,TW0004747001,4747,2834,Johnson Chem Pharm Works Co,3,johnsonchema,3,Johnson Chemical Pharmaceutical Works,Johnson Chemical Pharmaceutical Works,JOHNSON CHM.PHARM.WORKS,TW:JOC,2010/1/8,68840M,T4747,TW0004747001
Wistron Info Tech & Svcs Corp,2013/12/31,2010/8/19,TW0004953005,4953,7376,Wistron Info Tech & Svcs Corp,3,wistroninfot,3,Wistron Information Technology,Wistron Information Technology,WISTRON INFO TECH.,TW:WTR,2010/6/25,70752F,T4953,TW0004953005
Grand-Tek Technology Co Ltd,2014/3/25,2012/4/10,TW0003684007,3684,3357,Grand-Tek Technology Co Ltd,1,grandtek,0,Grand Tek,Grand Tek,GRAND TEK,TW:GRT,2009/12/31,68918L,T3684,TW0003684007
China Commun Media Grp Co Ltd,2014/7/16,2013/10/30,,6404,4812,China Commun Media Grp Co Ltd,3,chinacommuni,3,China Communications Media Group,China Communications Media Group,CHINA COMMS.MEDIA GROUP,TW:CGM,2013/9/17,87066Z,T6404,KYG211281061
EISO Enterprise Co Ltd,2014/12/16,2014/2/14,TW0005291009,5291,3672,EISO Enterprise Co Ltd,1,eisoenteprise,0,Eiso Enteprise,Eiso Enteprise,EISO ENTEPRISE,TW:EIE,2013/8/30,89745W,T5291,TW0005291009
U Media Communications Inc,2015/10/27,2014/8/25,TW0006470008,6470,3661,U Media Communications Inc,1,umediacommunic,1,U-Media Communications,U-Media Communications,U-MEDIA COMMUNICATIONS,TW:UME,2014/9/24,9110AU,T6470,TW0006470008
Yuen Chang Stainless Steel Co,2016/3/15,2015/9/25,TW0002069002,2069,3312,Yuen Chang Stainless Steel Co,3,yuenchangstl,1,Yuen Chang SSTL,Yuen Chang SSTL,YUEN CHANG SSTL.,TW:YCS,2015/2/5,9301Z5,T2069,TW0002069002
Huaku Construction Co Ltd,2000/6/19,2000/6/19,,2548,1522,Huaku Construction Co Ltd,3,huuconstruct,3,Hung Fu Construction,Hung Fu Construction,HUNG FU CONSTRUCTION,TW:HFC,1993/9/27,317762,T8719,TW0008719006
