issuer,Idate,Fdate,ISIN,ticker,SIC
AzureWave Technologies Inc,2011/4/25,2010/6/28,TW0003694006,3694,3674
Chia Chang Co Ltd,2011/6/20,2011/2/16,TW0004942008,4942,3674
Global Lighting Technology Inc,2011/7/21,2011/3/4,KYG3931M1024,4935,3679
Asia Plastic Recycling Hldg,2011/8/10,2011/4/25,KYG0539R1039,1337,2869
AVer Information Inc,2011/8/18,2011/4/28,TW0003669008,3669,7372
Huga Optotech Inc,2011/9/1,2010/10/28,TW0008199001,8199,3674
Tai Tung Communication Co Ltd,2011/9/9,2010/10/20,TW0008011008,8011,3357
Coland Holdings Ltd,2011/9/28,2011/9/28,KYG2379A1094,4144,2834
Taimide Tech Inc,2011/9/28,2011/4/28,TW0003645008,3645,2671
Chi Mei Materials Technology,2011/10/17,2011/4/26,TW0004960000,4960,3679
Epileds Technologies Inc,2011/10/17,2011/5/23,TW0004956008,4956,3674
Taiwan Enterprise(Cayman)Co,2011/10/17,2010/1/28,KYG8661M1078,5906,2329
Kingcan Holdings Ltd,2011/10/25,2011/5/30,KYG525911072,8411,3411
TransAsia Airways Corp,2011/10/25,2011/6/28,TW0006702004,6702,4512
G-TECH Optoelectronics Corp,2011/11/16,2011/2/25,TW0003149001,3149,3674
Keysheen(Cayman)Hldg Co Ltd,2011/11/29,2011/5/25,KYG525341072,8427,2531
KO JA(CAYMAN)Co Ltd,2011/12/19,2011/7/22,KYG530791022,5215,5045
Zhen Ding Tech Hldg Ltd,2011/12/19,2011/8/25,KYG989221000,4958,3672
Wowprime Corp,2012/2/29,2011/10/30,TW0002727005,2727,5812
Chateau Intl Dvlp Co Ltd,2012/3/7,2011/8/14,TW0002722006,2722,7011
Rotam Global AgroSciences Ltd,2012/4/18,2011/9/15,KYG7644E1098,4141,2879
Yeong Guan Energy Tech Grp Co,2012/4/20,2010/9/27,KYG984291065,1589,3312
Adimmune Corp,2012/4/25,2011/9/27,TW0004142005,4142,2836
Grand Ocean Retail Group Ltd,2012/5/30,2010/12/20,KYG4064G1029,5907,5311
Fulgent Sun Intl(Hldg)Co Ltd,2012/10/11,2012/4/20,KYG291021031,9802,3021
CHC Healthcare Group,2012/10/17,2011/11/21,TW0004164009,4164,3842
Eastern Technologies Holding,2012/10/29,2011/6/16,KYG291021031,5225,3651
Calin Technology Co Ltd,2012/11/13,2012/4/26,TW0004976006,4976,3827
ASMedia Technology Inc,2012/12/5,2012/7/15,TW0005269005,5269,3674
Hiroca Holdings Ltd,2012/12/12,2012/3/8,KYG451001070,1338,3714
Jinli Group Holdings Ltd,2012/12/13,2012/6/27,KYG513871015,8429,2339
Casetek Holdings Ltd,2013/1/18,2012/10/3,KYG193031096,5264,3699
Scientech Corp,2013/3/5,2012/6/27,TW0003583001,3583,3674
Airmate(Cayman)International,2013/3/14,2012/10/4,KYG0135T1076,1626,3634
Nan Liu Enterprise Co Ltd,2013/4/29,2012/12/18,TW0006504004,6504,2211
Lion Travel Service Co Ltd,2013/9/14,2013/7/26,TW0002731007,2731,4724
Ta Liang Technology Co Ltd,2013/10/14,2012/8/3,TW0003167003,3167,3599
Sanitar Co Ltd,2013/10/17,2012/3/20,TW0001817005,1817,3431
FocalTech Corp Ltd,2013/11/1,2013/4/30,KYG3606Y1008,5280,3674
PCL Technologies Inc,2013/11/13,2013/3/26,KYG6956N1034,4977,3674
Pilot Electronics Corp,2013/11/14,2012/4/18,TW0004916002,4916,3577
Iron Force Industrial Co Ltd,2013/11/18,2013/3/29,TW0002228004,2228,3714
Eson Precision Ind Co Ltd,2013/11/18,2013/5/29,KYG312361051,5243,3429
San Fu Chemical Co Ltd,2013/11/20,2013/5/13,TW0004755004,4755,2899
Chlitina Holding Ltd,2013/11/20,2013/10/17,KYG211641017,4137,2844
Onano Industrial Corp,2013/11/21,2013/4/9,TW0006405004,6405,3231
Far Glory Hotel Co Ltd,2013/11/26,2013/3/26,TW0002712007,2712,7011
Candmark Electroptics Co Ltd,2013/11/26,2013/6/7,TW0005259006,5259,3679
Silergy Corp,2013/12/4,2013/7/30,KYG8190F1028,6415,3674
Tong Ming Enterprise Co Ltd,2013/12/9,2013/7/16,KYG8919A1031,5538,3315
Lu Hai Holding Corp,2013/12/18,2013/7/8,KYG5700L1086,2115,3491
TOPBI International Holdings,2013/12/23,2013/7/4,KYG8922A1085,2929,2369
Victory New Materials Ltd Co,2014/1/7,2013/11/22,KYG935971054,1340,2899
Green Seal Holding Ltd,2014/1/9,2013/12/3,KYG409711069,1262,2821
ChipMos Technologies Inc,2014/4/8,2013/6/17,TW0008150004,8150,8734
Tsang Yow Industry Co Ltd,2014/5/7,2013/3/22,TW0001568004,1568,3711
Advanced Optoelectn Tech Inc,2014/7/2,2013/9/25,TW0003437000,3437,3674
Aerospace Industrial Dvlp Corp,2014/8/20,2014/4/7,,2634,3728
SHUI-MU International Co Ltd,2014/9/5,2012/8/17,TW0008443003,8443,3131
Eurocharm Holdings Co Ltd,2014/9/18,2014/4/9,KYG314551014,5288,3714
Enterex Intl,2014/10/8,2014/4/28,KYG316231045,1592,3714
Kuangli PhotoElec Tech Co Ltd,2014/11/27,2014/6/27,,6431,3679
Shunsin Tech Hldg Ltd,2015/1/19,2015/1/15,,6451,3674
Aero Win,2015/1/20,2014/8/11,TW0008222001,8222,3724
Pharmally Intl Hldg Co Ltd,2015/3/20,2014/10/27,,6452,2834
Patec Precision Industry Co,2015/5/27,2014/10/28,,2236,5531
Gen Interface Solution (GIS),2015/6/5,2014/11/19,,6456,3678
RTM,2015/7/6,2014/9/24,TW0008463001,8463,3241
EZconn Corp,2015/7/7,2015/3/3,TW0006442007,6442,3357
GLOBAL PMX Co Ltd,2015/8/3,2015/4/28,TW0004551007,4551,3714
Jourdeness Group Ltd,2015/10/14,2014/12/3,,4190,7299
Chelic,2015/10/20,2015/3/23,TW0004555008,4555,3593
Jinan Acetate Chemical Co Ltd,2015/11/2,2015/4/28,,4763,2823
Bonny Worldwide Ltd,2015/12/8,2015/12/8,,8467,2899
Nien Made Enterprise Co Ltd,2015/12/15,2015/3/16,,8464,2591
Min Aik Precision Industrial,2015/12/29,2015/9/2,TW0004545009,4545,3679
Cayman Engley Industrial Co,2016/1/20,2015/12/15,KYG1991F1081,2239,5013
GEM Services Inc,2016/4/1,2015/10/7,,6525,8734
Headway,2016/4/29,2015/3/31,TW0001776003,1776,2899
AP Memory Technology Corp,2016/5/17,2016/3/7,TW0006531007,6531,5065
Anji,2016/6/14,2014/10/15,TW0006477003,6477,3433
Lida Holdings Ltd,2016/7/6,2015/4/25,,4552,3563
Coaster International Co Ltd,2016/9/19,2015/12/15,,2936,5021
M.J. International Co Ltd,2016/10/18,2016/6/12,,8466,3089
Concraft Holding Co Ltd,2016/10/28,2012/11/16,,4943,3678
WW Holding Inc,2016/11/1,2016/4/25,,8442,3069
FDC International Hotels Corp,2016/11/16,2016/6/16,TW0002748001,2748,7011
Jiyuan Packaging Holdings Ltd,2016/11/29,2016/7/12,,8488,7389
Laster Tech Corp Ltd,2016/12/5,2016/7/28,TW0003346003,3346,5065
Global Brands Manufacture Ltd,1991/1/6,1991/1/6,,6191,3672
Hegamedia Corp,1991/1/24,1991/1/24,,HEGAMC,3699
Ton Yi Industrial Corp,1991/1/29,1991/1/29,TW0009907105,9907,3411
Universal Textile Co Ltd,1991/2/5,1991/2/5,TW0009566687,UNTEX,2269
WUS Printed Circuit Co Ltd,1991/2/5,1991/2/5,TW0009566760,2316,3672
Great Taipei Gas Corp,1991/2/6,1991/2/6,TW0009567966,9908,1311
China Motor Corp,1991/3/12,1991/3/12,TW0009567024,2204,3711
Prince Housing&Dvlp Corp,1991/4/24,1991/4/24,TW0009568279,2511,1531
Hou Hai Precision Industry Co,1991/6/18,1991/6/18,,HOUHAI,3559
First Hotel,1991/6/25,1991/6/25,TW0009567792,2706,7011
China Petrochemical Dvlp Corp,1991/7/12,1991/7/12,TW0009567438,1314,2911
Aurora Corp,1991/8/1,1991/8/1,TW0002907003,2373,5112
Ho Tung Chemical Corp,1991/8/30,1991/8/30,TW0009569467,1714,2899
Hocheng Corp,1991/10/14,1991/10/14,TW0008887654,HOCH,3261
Hong Ho Precision Textile Co,1991/10/15,1991/10/15,TW0009569509,HONGHO,2269
Chun Yu Works & Co Ltd,1991/10/17,1991/10/17,TW0009567529,2012,3452
Tecon Co Ltd,1991/11/8,1991/11/8,,TECON,3661
Tai Roun Products Co Ltd,1991/11/20,1991/11/20,TW0009567214,TAIRPC,2048
Ensure Co Ltd,1991/11/23,1991/11/23,TW0001509008,ENSURE,3363
Hsing Ta Cement Co Ltd,1991/12/5,1991/12/5,TW0009569525,1109,3241
Feng Tay Enterprises Co Ltd,1992/2/18,1992/2/18,TW0009567750,9910,3021
Bao-Chen Construction Co Ltd,1992/2/20,1992/2/20,TW0009568485,2512,1522
Formosan Rubber Group Inc,1992/3/3,1992/3/3,TW0009567859,2107,3069
Yuan Yi Agricultural&Livestock,1992/3/18,1992/3/18,TW0009566869,1222,2013
Hwang Dih Lon Textile,1992/4/8,1992/4/8,TW0001448009,HWANG,2269
Ruentex Construction & Dvlp Co,1992/4/30,1992/4/30,TW0009566943,9945,1522
Chia Her Industrial Co Ltd,1992/5/6,1992/5/6,TW0009568626,1449,2221
Tah Shin Industrial Group,1992/5/9,1992/5/9,TW0009567180,TAHSIG,3559
Feng Hsin Iron & Steel Co Ltd,1992/5/25,1992/5/25,TW0009567743,FENGIS,3312
Taiyu Products Corp,1992/6/27,1992/6/27,TW0001223006,1223,2038
Taiwan Sakura Corp,1992/7/16,1992/7/16,TW0009567420,9911,3634
Associated Industries China,1992/8/8,1992/8/8,TW0009568410,9912,3443
Sin-Yih Ceramic Co Ltd,1992/8/10,1992/8/10,TW0008943978,1806,3253
Master Home Furniture,1992/8/20,1992/8/20,TW0008944331,MASTHF,2511
Long Bon Construction Co Ltd,1992/9/26,1992/9/26,,2514,3575
Merida Industry Co Ltd,1992/9/30,1992/9/30,TW0008944364,MERIDA,3751
Hui Shung Agriculture & Food,1992/10/1,1992/10/1,TW0008938010,1224,2075
United Ceramics Co Ltd,1992/10/7,1992/10/7,TW0008943960,1807,3253
Sun Yad Plastic Co Ltd,1992/10/15,1992/10/15,,1316,3089
Chia I Industrial Co Ltd,1992/11/2,1992/11/2,TW0008943945,2017,3315
Phoenixtec Power Co Ltd,1992/11/23,1992/11/23,TW0001511004,2411,3612
Sun Home Leather Corp,1992/12/16,1992/12/16,TW0008937988,SUNHOM,3199
Nien Hsing Textile Co Ltd,1992/12/21,1992/12/21,TW0008938556,NIENHT,2269
Asia Chemical Corp,1992/12/28,1992/12/28,,ASIACC,2819
Hong Yi Fiber Ind Co Ltd,1992/12/28,1992/12/28,TW0008938564,1452,2299
Ta Jiang Group Co Ltd,1993/4/19,1993/4/19,TW0001453009,1453,2281
Mayer Steel Pipe Corp,1993/4/27,1993/4/27,TW0008943911,2020,3317
Taiwan Taiffeta Fabric,1993/5/7,1993/5/7,TW0008939026,TTFAB,2231
Hong Tai Electronic Ind,1993/5/8,1993/5/8,TW0008943994,HONGT,3679
Chia Hsin Cement Corp,1993/5/14,1993/5/14,TW0008918871,1103,3241
Nien Made Enterprise Co Ltd,1993/5/17,1993/5/17,TW0008944372,NIENM,2591
New Asia Construction & Dvlp,1993/5/25,1993/5/25,TW0008904558,2516,1611
Chang Ku Building Co Ltd,1993/5/28,1993/5/28,TW0008944232,CHANGK,1522
CTCI Corp Ltd,1993/5/28,1993/5/28,TW0002541000,9933,1541
I-Hwa Industrial Co Ltd,1993/9/12,1993/9/12,TW0008939018,1456,2211
Formosa Oilseed Processing Co,1993/9/27,1993/9/27,TW0008938036,1225,2075
Hung Fu Construction Co Ltd,1993/9/27,1993/9/27,TW0002519006,2519,1531
Zig Sheng Industrial Co Ltd,1993/10/7,1993/10/7,TW0008939059,1455,2281
Yageo Corp,1993/10/22,1993/10/22,TW0008927096,2327,3679
Tze Shing Transport Terminal,1993/10/28,1993/10/28,TW0008944281,2611,4412
Pan Intl Industrial Corp,1993/11/9,1993/11/9,TW0008943887,2328,3678
Taiwan Secom Co Ltd,1993/12/8,1993/12/8,TW0008937996,9917,7389
Lee-Tah Farm Industries Co,1993/12/10,1993/12/10,TW0008938069,LEETAH,5191
Jui Li Enterprise Co Ltd,1994/1/28,1994/1/28,TW0008941121,1512,3714
Pony Leather Corp,1994/2/22,1994/2/22,,PONYL,2295
Eternal Chemical Co Ltd,1994/3/30,1994/3/30,TW0008943986,1717,2899
Standard Foods Taiwan Ltd,1994/4/9,1994/4/9,TW0008937970,1227,2023
Orient Semiconductor,1994/4/20,1994/4/20,TW0008943879,2329,3672
Elitegroup Computer Systems,1994/9/21,1994/9/21,TW0008985433,2331,3571
Chief Construction Corp,1994/10/1,1994/10/1,TW0008977356,CHIEFC,8711
Der Pao Construction Co Ltd,1994/10/12,1994/10/12,TW0008977364,2523,1531
D-Link Corp,1994/10/17,1994/10/17,TW0009004879,2332,3661
Wei-Cheng Construction,1994/10/18,1994/10/18,,,8711
Associated Transport Inc,1994/10/20,1994/10/20,,ATRANS,4412
Yi Jinn Industrial Co Ltd,1994/10/20,1994/10/20,TW0008936832,1457,2282
Southeast Cement Co Ltd,1994/10/22,1994/10/22,TW0001110005,1110,3241
Kuo Bin Ceramic Industry Co,1994/10/26,1994/10/26,TW0008986175,1808,3253
Lan Fa Textile Co Ltd,1994/10/26,1994/10/26,TW0008985862,1459,2299
Continental Engineering Corp,1994/11/1,1994/11/1,,2526,1622
Kang Na Hsiung Enterprise Co,1994/11/4,1994/11/4,TW0008985052,9919,2399
Chant World International,1994/11/14,1994/11/14,TW0008977307,CHANT,3679
Tong Yang Industry Co Ltd,1994/12/12,1994/12/12,TW0008986126,1319,3714
Giant Manufacturing Co Ltd,1994/12/29,1994/12/29,TW0008973181,9921,3751
Primax Electronics Ltd,1995/1/12,1995/1/12,TW0008977323,2336,3679
Ability Enterprise Co Ltd,1995/1/16,1995/1/16,TW0002909009,2374,3679
UB Office Systems Inc,1995/1/17,1995/1/17,TW0008985078,9922,2522
Rexon,1995/2/4,1995/2/4,,REXON,3541
Ding Ing Enterprise Co Ltd,1995/2/6,1995/2/6,TW0008985094,9923,3111
Taiwan Fu Hsing Indl Co Ltd,1995/3/15,1995/3/15,TW0008985102,9924,3429
Tycoons Grp Entrp Co Ltd,1995/3/27,1995/3/27,TW0008985425,2022,3312
TNC Industrial,1995/3/30,1995/3/30,TW0002372000,1719,3559
Falcon Cycle-Parts Co Ltd,1995/4/1,1995/4/1,,1516,3751
Jen Hsiang Construction,1995/4/17,1995/4/17,TW0008973173,2529,1531
Taiwan Mask Corp,1995/4/17,1995/4/17,TW0008976366,T2338,3679
Holtek Microelectronics Inc,1995/4/27,1995/4/27,,HOLTEK,3674
Everest Textile Co Ltd,1995/4/28,1995/4/28,TW0008976317,1460,2299
Opto Tech Corp,1995/5/2,1995/5/2,TW0002340106,2340,3674
Yieh Phui Enterprise Co Ltd,1995/7/28,1995/7/28,TW0009004838,2023,3316
Accton Technology Corp,1995/9/6,1995/9/6,TW0009004077,2345,3577
Mosel Vitelic Inc,1995/9/19,1995/9/19,US6195391098,2342,3674
Lite-On Semiconductor,1995/10/8,1995/10/8,,5305,3674
Ace Union Foods Corp,1995/10/20,1995/10/20,TW0009002816,ACEUFC,2099
Tai-I Electric Wire & Cable Co,1995/10/20,1995/10/20,TW0009002840,1613,3357
Sun Splendor Co Ltd,1995/10/30,1995/10/30,TW0009004135,2531,8711
Yuh Chen United Technologies,1995/10/30,1995/10/30,TW0009005413,2533,1521
Lian Hwa Foods,1995/11/2,1995/11/2,TW0009002824,LIANH,2099
